Team,GoalsFor,GoalsAgainst,GoalsDifference,Wins,Draws,Losses,Pts,Rank
Man City,4,0,4,1,0,0,3,1
Sunderland,3,0,3,1,0,0,3,2
Tottenham,3,0,3,1,0,0,3,3
Liverpool,4,2,2,1,0,0,3,4
Nott'm Forest,3,1,2,1,0,0,3,5
Arsenal,1,0,1,1,0,0,3,6
Leeds,1,0,1,1,0,0,3,7
Brighton,1,1,0,0,1,0,1,8
Fulham,1,1,0,0,1,0,1,9
Aston Villa,0,0,0,0,1,0,1,10
Chelsea,0,0,0,0,1,0,1,11
Crystal Palace,0,0,0,0,1,0,1,12
Newcastle,0,0,0,0,1,0,1,13
Everton,0,1,-1,0,0,1,0,14
Man United,0,1,-1,0,0,1,0,15
Bournemouth,2,4,-2,0,0,1,0,16
Brentford,1,3,-2,0,0,1,0,17
Burnley,0,3,-3,0,0,1,0,18
West Ham,0,3,-3,0,0,1,0,19
Wolves,0,4,-4,0,0,1,0,20
