Rk,Squad,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,93,2.45,88.7,24.6,64.0,1.68
2,Liverpool,92,2.42,88.7,33.8,54.9,1.45
3,Chelsea,74,1.95,63.4,33.2,30.1,0.79
4,Tottenham,71,1.87,61.2,39.3,21.9,0.58
5,Arsenal,69,1.82,60.5,45.7,14.9,0.39
6,Manchester Utd,58,1.53,55.8,53.0,2.8,0.07
7,West Ham,56,1.47,51.4,53.5,-2.1,-0.06
8,Leicester City,52,1.37,47.8,59.3,-11.5,-0.3
9,Brighton,51,1.34,46.2,42.9,3.3,0.09
10,Wolves,51,1.34,37.5,56.9,-19.4,-0.51
11,Newcastle Utd,49,1.29,38.1,57.1,-19.0,-0.5
12,Crystal Palace,48,1.26,46.4,40.7,5.7,0.15
13,Brentford,46,1.21,45.8,48.5,-2.7,-0.07
14,Aston Villa,45,1.18,44.0,49.0,-4.9,-0.13
15,Southampton,40,1.05,44.8,60.0,-15.2,-0.4
16,Everton,39,1.03,41.2,55.4,-14.2,-0.37
17,Leeds United,38,1.0,44.4,67.8,-23.5,-0.62
18,Burnley,35,0.92,39.7,57.1,-17.4,-0.46
19,Watford,23,0.61,40.0,64.5,-24.5,-0.64
20,Norwich City,22,0.58,32.3,75.5,-43.2,-1.14
