Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Espérance Tunis,1,33,10,3,0,28,9,19
CS Sfaxien,2,31,10,1,2,15,6,9
Club Africain,3,27,8,3,2,17,6,11
Etoile Sportive Du Sahel,4,26,7,5,1,21,7,14
US Monastir,5,23,6,5,2,17,8,9
Stade Tunisien,6,23,6,5,2,11,7,4
AS Soliman,7,22,7,1,5,19,12,7
ES Métlaoui,8,21,6,3,4,15,12,3
CS Chebba,9,19,5,4,4,23,16,7
US Tataouine,10,18,5,3,5,12,13,-1
US Ben Guerdane,11,16,3,7,3,15,17,-2
CA Bizertin,12,16,4,4,5,14,17,-3
Hammam-Lif,13,15,4,3,6,12,15,-3
JS Kairouanaise,14,13,3,4,6,12,14,-2
