Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Espérance Tunis,1,62,18,8,0,41,12,29
CS Sfaxien,2,51,15,6,5,33,19,14
US Monastir,3,45,12,9,5,36,19,17
Etoile Sportive Du Sahel,4,43,12,7,7,37,25,12
Club Africain,5,40,13,7,6,28,14,14
Stade Tunisien,6,36,10,6,10,26,27,-1
US Ben Guerdane,7,34,8,10,8,26,31,-5
CS Chebba,8,30,7,9,10,33,33,0
AS Soliman,9,28,8,4,14,29,32,-3
US Tataouine,10,28,6,10,10,21,28,-7
ES Métlaoui,11,25,6,7,13,23,34,-11
CA Bizertin,12,23,5,8,13,18,35,-17
Hammam-Lif,13,22,5,7,14,20,40,-20
JS Kairouanaise,14,22,6,4,16,19,41,-22
