Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Espérance Tunis,1,28,9,1,3,19,10,9
Etoile Sportive Du Sahel,2,20,6,2,5,17,16,1
CS Sfaxien,3,16,3,7,3,11,8,3
US Tataouine,4,15,4,3,6,12,19,-7
US Ben Guerdane,5,14,2,8,3,10,10,0
AS Rejiche,6,14,3,5,5,12,14,-2
Olympique Béja,7,14,3,5,5,11,13,-2
Club Africain,8,14,3,5,5,9,15,-6
AS Soliman,9,13,3,4,6,16,22,-6
Stade Tunisien,10,11,2,5,6,11,14,-3
ES Métlaoui,11,11,2,5,6,6,11,-5
US Monastir,12,11,3,2,8,11,19,-8
CA Bizertin,13,11,3,2,8,8,16,-8
JS Kairouanaise,14,2,0,2,11,7,29,-22
