Rank,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
Etoile Sportive Du Sahel,1,35,11,2,2,27,13,14
Espérance Tunis,2,33,10,3,2,28,9,19
US Monastir,3,26,6,8,1,10,4,6
CS Sfaxien,4,21,5,6,4,16,12,4
Stade Tunisien,4,21,5,6,4,12,11,1
Club Africain,5,21,5,6,4,15,11,4
ES Zarzis,7,17,4,5,6,16,21,-5
AS Soliman,8,15,4,3,8,11,25,-14
Olympique Béja,9,15,4,3,8,8,17,-9
ES Métlaoui,10,11,2,5,8,12,19,-7
US Ben Guerdane,11,10,1,7,7,11,17,-6
Avenir Sportif De Gabes,12,8,2,2,11,8,26,-18
JS Omrane,13,8,1,5,9,8,27,-19
US Tataouine,14,8,2,2,11,8,30,-22
CA Bizertin,15,6,1,3,11,5,18,-13
EGS Gafsa,16,6,1,3,11,9,23,-14
