Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
ES Zarzis,1,3,1,0,0,2,1,1
Club Africain,2,3,1,0,0,1,0,1
ES Métlaoui,3,3,1,0,0,1,0,1
Stade Tunisien,5,1,0,1,0,1,1,0
US Monastir,5,1,0,1,0,1,1,0
CS Sfaxien,6,1,0,1,0,1,1,0
Espérance Tunis,7,1,0,1,0,0,0,0
Avenir Sportif De Gabes,8,1,0,1,0,0,0,0
CA Bizertin,9,1,0,1,0,0,0,0
Avenir Sportif De La Marsa,10,0,0,0,1,0,1,-1
JS Omrane,11,0,0,0,1,0,1,-1
JS Kairouanaise,12,0,0,0,1,0,1,-1
US Ben Guerdane,13,0,0,0,1,0,1,-1
AS Soliman,14,0,0,0,1,0,1,-1
Etoile Sportive Du Sahel,15,0,0,0,1,1,3,-2
Olympique Béja,16,0,0,0,1,0,2,-2
