Rank,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
ES Zarzis,1,37,12,1,2,22,8,14
US Monastir,2,36,11,3,1,32,7,25
Espérance Tunis,3,33,9,6,0,29,13,16
Club Africain,4,33,10,3,2,19,8,11
ES Métlaoui,5,32,9,5,1,20,8,12
CA Bizertin,6,29,8,5,2,24,10,14
Stade Tunisien,7,28,8,4,3,17,10,7
Etoile Sportive Du Sahel,8,26,8,2,5,18,11,7
CS Sfaxien,9,23,6,5,4,14,7,7
US Ben Guerdane,10,20,5,5,5,17,16,1
JS Omrane,11,18,3,9,3,17,19,-2
Avenir Sportif De Gabes,12,18,4,6,5,10,12,-2
EGS Gafsa,13,16,5,1,9,15,19,-4
AS Soliman,14,16,3,7,5,7,13,-6
Olympique Béja,15,14,3,5,7,11,20,-9
US Tataouine,16,11,3,2,10,11,23,-12
