Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
ES Zarzis,1,3,1,0,0,1,0,1
Club Africain,2,3,1,0,0,1,0,1
Stade Tunisien,3,3,1,0,0,1,0,1
Avenir Sportif De La Marsa,4,3,1,0,0,1,0,1
JS Omrane,5,3,1,0,0,3,1,2
US Ben Guerdane,6,3,1,0,0,2,0,2
JS Kairouanaise,7,3,1,0,0,1,0,1
Espérance Tunis,8,1,0,1,0,1,1,0
ES Métlaoui,9,1,0,1,0,0,0,0
Avenir Sportif De Gabes,10,1,0,1,0,0,0,0
CA Bizertin,10,1,0,1,0,1,1,0
Olympique Béja,11,1,0,1,0,0,0,0
US Monastir,12,1,0,1,0,1,1,0
CS Sfaxien,14,0,0,0,1,1,2,-1
AS Soliman,16,0,0,0,1,0,1,-1
Etoile Sportive Du Sahel,16,0,0,0,1,0,1,-1
