Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference,HomeWins,HomeDraws,HomeLosses,HomeGoalsFor,HomeGoalsAgainst,HomeGoalsDifference,AwayWins,AwayDraws,AwayLosses,AwayGoalsFor,AwayGoalsAgainst,AwayGoalsDifference
Espérance Tunis,1,66,19,9,2,57,22,35,12,1,2,22,8,14,11,2,2,27,13,14
US Monastir,2,62,17,11,2,42,11,31,11,3,1,32,7,25,10,3,2,28,9,19
Etoile Sportive Du Sahel,3,61,19,4,7,45,24,21,9,6,0,29,13,16,6,8,1,10,4,6
Club Africain,4,54,15,9,6,34,19,15,10,3,2,19,8,11,5,6,4,16,12,4
ES Zarzis,5,54,16,6,8,38,29,9,9,5,1,20,8,12,5,6,4,12,11,1
Stade Tunisien,6,49,13,10,7,29,21,8,8,5,2,24,10,14,5,6,4,15,11,4
CS Sfaxien,7,44,11,11,8,30,19,11,8,4,3,17,10,7,4,5,6,16,21,-5
ES Métlaoui,8,43,11,10,9,32,27,5,8,2,5,18,11,7,4,3,8,11,25,-14
CA Bizertin,9,35,9,8,13,29,28,1,6,5,4,14,7,7,4,3,8,8,17,-9
AS Soliman,10,31,7,10,13,18,38,-20,5,5,5,17,16,1,2,5,8,12,19,-7
US Ben Guerdane,11,30,6,12,12,28,33,-5,3,9,3,17,19,-2,1,7,7,11,17,-6
Olympique Béja,12,29,7,8,15,19,37,-18,4,6,5,10,12,-2,2,2,11,8,26,-18
Avenir Sportif De Gabes,13,26,6,8,16,18,38,-20,5,1,9,15,19,-4,1,5,9,8,27,-19
JS Omrane,14,26,4,14,12,25,46,-21,3,7,5,7,13,-6,2,2,11,8,30,-22
EGS Gafsa,15,22,6,4,20,24,42,-18,3,5,7,11,20,-9,1,3,11,5,18,-13
US Tataouine,16,19,5,4,21,19,53,-34,3,2,10,11,23,-12,1,3,11,9,23,-14
