Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference,HomeWins,HomeDraws,HomeLosses,HomeGoalsFor,HomeGoalsAgainst,HomeGoalsDifference,AwayWins,AwayDraws,AwayLosses,AwayGoalsFor,AwayGoalsAgainst,AwayGoalsDifference,MP,PtsPerGame,GapToFirst
ES Zarzis,1,6,2,0,0,3,1,2,1,0,0,1,0,1,1,0,0,2,1,1,2,3.0,0
Club Africain,2,6,2,0,0,2,0,2,1,0,0,1,0,1,1,0,0,1,0,1,2,3.0,0
Stade Tunisien,3,4,1,1,0,2,1,1,1,0,0,1,0,1,1,0,0,1,0,1,2,2.0,-2
ES Métlaoui,4,4,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,2,2.0,-2
Avenir Sportif De La Marsa,5,3,1,0,1,1,1,0,1,0,0,3,1,2,0,1,0,1,1,0,2,1.5,-3
JS Omrane,6,3,1,0,1,3,2,1,1,0,0,2,0,2,0,1,0,1,1,0,2,1.5,-3
JS Kairouanaise,7,3,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,2,1.5,-3
US Ben Guerdane,8,3,1,0,1,2,1,1,0,1,0,1,1,0,0,1,0,0,0,0,2,1.5,-3
Espérance Tunis,9,2,0,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1.0,-4
US Monastir,10,2,0,2,0,2,2,0,0,1,0,0,0,0,0,0,1,0,1,-1,2,1.0,-4
Avenir Sportif De Gabes,11,2,0,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,-1,2,1.0,-4
CA Bizertin,11,2,0,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,-1,2,1.0,-4
CS Sfaxien,13,1,0,1,1,2,3,-1,0,1,0,1,1,0,0,0,1,0,1,-1,2,0.5,-5
Olympique Béja,14,1,0,1,1,0,2,-2,0,0,1,1,2,-1,0,0,1,0,1,-1,2,0.5,-5
AS Soliman,15,0,0,0,2,0,2,-2,0,0,1,0,1,-1,0,0,1,1,3,-2,2,0.0,-6
Etoile Sportive Du Sahel,16,0,0,0,2,1,4,-3,0,0,1,0,1,-1,0,0,1,0,2,-2,2,0.0,-6
