Team,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference,Rank
ES Zarzis,6,2,0,0,3,1,2,1
Club Africain,6,2,0,0,2,0,2,2
Stade Tunisien,4,1,1,0,2,1,1,3
ES Métlaoui,4,1,1,0,1,0,1,4
Avenir Sportif De La Marsa,3,1,0,1,1,1,0,5
JS Omrane,3,1,0,1,3,2,1,6
JS Kairouanaise,3,1,0,1,1,1,0,7
US Ben Guerdane,3,1,0,1,2,1,1,8
Espérance Tunis,2,0,2,0,1,1,0,9
US Monastir,2,0,2,0,2,2,0,10
Avenir Sportif De Gabes,2,0,2,0,0,0,0,11
CA Bizertin,2,0,2,0,1,1,0,12
CS Sfaxien,1,0,1,1,2,3,-1,13
Olympique Béja,1,0,1,1,0,2,-2,14
AS Soliman,0,0,0,2,0,2,-2,15
Etoile Sportive Du Sahel,0,0,0,2,1,4,-3,16
