Team,Position,Pts,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalsDifference
ES Zarzis,1,6,2,0,0,3,1,2
Club Africain,2,6,2,0,0,2,0,2
Stade Tunisien,3,4,1,1,0,2,1,1
ES Métlaoui,4,4,1,1,0,1,0,1
Avenir Sportif De La Marsa,5,3,1,0,1,1,1,0
JS Omrane,6,3,1,0,1,3,2,1
JS Kairouanaise,7,3,1,0,1,1,1,0
US Ben Guerdane,8,3,1,0,1,2,1,1
Espérance Tunis,9,2,0,2,0,1,1,0
US Monastir,10,2,0,2,0,2,2,0
Avenir Sportif De Gabes,11,2,0,2,0,0,0,0
CA Bizertin,11,2,0,2,0,1,1,0
CS Sfaxien,13,1,0,1,1,2,3,-1
Olympique Béja,14,1,0,1,1,0,2,-2
AS Soliman,15,0,0,0,2,0,2,-2
Etoile Sportive Du Sahel,16,0,0,0,2,1,4,-3
