Team,TeamID,GoalsForHome,GoalsAgainstHome,GoalsForAway,GoalsAgainstAway,WinsHome,DrawsHome,LossesHome,WinsAway,DrawsAway,LossesAway,GoalsFor,GoalsAgainst,GoalsDifference,Wins,Draws,Losses,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Rank,last_5_winners,Rating
Almeria,1,22,36,21,39,1,8,10,2,4,13,43,75,-32,3,12,23,21,0.55,48.7,61.6,-12.9,-0.34,19,0,6.78
Sevilla,2,27,27,21,27,6,5,8,4,6,9,48,54,-6,10,11,17,41,1.08,44.9,55.9,-11.0,-0.29,14,0,6.93
Sociedad,3,26,20,25,19,8,6,5,8,6,5,51,39,12,16,12,10,60,1.58,44.9,41.3,3.6,0.1,6,0,6.91
Las Palmas,4,20,20,13,27,6,6,7,4,4,11,33,47,-14,10,10,18,40,1.05,33.2,56.6,-23.5,-0.62,16,0,6.8
Ath Bilbao,5,42,18,19,19,12,6,1,7,5,7,61,37,24,19,11,8,68,1.79,52.7,41.3,11.4,0.3,5,0,6.91
Celta,6,21,23,25,34,6,6,7,4,5,10,46,57,-11,10,11,17,41,1.08,50.7,54.6,-3.8,-0.1,13,0,6.88
Villarreal,7,36,32,29,33,7,5,7,7,6,6,65,65,0,14,11,13,53,1.39,55.6,58.7,-3.2,-0.08,8,0,6.9
Getafe,8,20,22,22,32,8,5,6,2,8,9,42,54,-12,10,13,15,43,1.13,45.7,53.8,-8.1,-0.21,12,0,6.81
Cadiz,9,16,19,10,36,5,9,5,1,6,12,26,55,-29,6,15,17,33,0.87,36.0,52.3,-16.3,-0.43,18,0,6.77
Ath Madrid,10,42,22,28,21,16,1,2,8,3,8,70,43,27,24,4,10,76,2.0,62.4,39.5,23.0,0.6,4,1,6.99
Mallorca,11,17,16,16,28,6,8,5,2,8,9,33,44,-11,8,16,14,40,1.05,40.5,42.9,-2.5,-0.06,15,0,6.84
Valencia,12,20,14,20,31,8,6,5,5,4,10,40,45,-5,13,10,15,49,1.29,43.1,47.6,-4.5,-0.12,9,0,6.82
Osasuna,13,19,26,26,30,6,5,8,6,4,9,45,56,-11,12,9,17,45,1.18,40.5,49.9,-9.4,-0.25,11,0,6.82
Girona,14,53,20,32,26,15,2,2,10,4,5,85,46,39,25,6,7,81,2.13,70.8,54.3,16.5,0.43,3,0,7.02
Barcelona,15,43,21,36,23,15,1,3,11,6,2,79,44,35,26,7,5,85,2.24,77.6,41.6,35.9,0.94,2,2,7.09
Betis,16,27,19,21,26,9,7,3,5,8,6,48,45,3,14,15,9,57,1.5,43.9,50.2,-6.3,-0.17,7,0,6.93
Alaves,17,23,19,13,27,9,4,6,3,6,10,36,46,-10,12,10,16,46,1.21,46.2,44.7,1.5,0.04,10,0,6.83
Granada,18,24,32,14,47,4,6,9,0,3,16,38,79,-41,4,9,25,21,0.55,42.6,64.2,-21.6,-0.57,20,0,6.72
Vallecano,19,18,26,11,22,4,8,7,4,6,9,29,48,-19,8,14,16,38,1.0,42.3,44.6,-2.3,-0.06,17,0,6.78
Real Madrid,20,48,9,39,17,16,3,0,13,5,1,87,26,61,29,8,1,95,2.5,68.8,35.4,33.4,0.88,1,2,7.2
