Team,TeamID,GoalsForHome,GoalsAgainstHome,GoalsForAway,GoalsAgainstAway,WinsHome,DrawsHome,LossesHome,WinsAway,DrawsAway,LossesAway,GoalsFor,GoalsAgainst,GoalsDifference,Wins,Draws,Losses,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Rank,Rating
Girona,1,1,3,0,5,0,0,1,0,0,1,1,8,-7,0,0,2,0,0.0,2.7,7.0,-4.3,-1.44,20,
Villarreal,2,7,0,0,0,2,0,0,0,0,0,7,0,7,2,0,0,7,2.33,5.8,1.7,4.0,1.34,3,7.17
Mallorca,3,1,4,0,0,0,1,1,0,0,0,1,4,-3,0,1,1,1,0.33,1.6,4.6,-3.1,-1.02,18,6.56
Alaves,4,2,1,0,1,1,0,0,0,0,1,2,2,0,1,0,1,4,1.33,3.3,3.8,-0.5,-0.17,11,
Valencia,5,1,1,0,1,0,1,0,0,0,1,1,2,-1,0,1,1,4,1.33,3.5,2.4,1.1,0.38,9,6.78
Celta,6,1,3,1,1,0,1,1,0,1,0,2,4,-2,0,2,1,3,0.75,3.0,3.6,-0.6,-0.15,14,
Ath Bilbao,7,4,2,0,0,2,0,0,0,0,0,4,2,2,2,0,0,9,3.0,5.4,1.9,3.5,1.17,2,
Espanol,8,2,1,2,2,1,0,0,0,1,0,4,3,1,1,1,0,7,2.33,4.1,3.5,0.6,0.19,5,
Elche,9,1,1,1,1,0,1,0,0,1,0,2,2,0,0,2,0,5,1.67,2.3,4.3,-2.0,-0.66,7,6.89
Real Madrid,10,1,0,3,0,1,0,0,1,0,0,4,0,4,2,0,0,9,3.0,6.1,1.6,4.6,1.52,1,7.16
Betis,11,1,0,2,2,1,0,0,0,2,0,3,2,1,1,2,0,5,1.25,4.7,3.7,1.0,0.25,8,
Ath Madrid,12,1,1,1,2,0,1,0,0,0,1,2,3,-1,0,1,1,2,0.67,3.9,2.7,1.1,0.37,16,
Levante,13,2,3,1,2,0,0,1,0,0,1,3,5,-2,0,0,2,0,0.0,3.4,4.3,-0.9,-0.29,19,
Osasuna,14,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,3,1.0,2.5,3.1,-0.5,-0.18,13,6.87
Sociedad,15,2,2,1,1,0,1,0,0,1,0,3,3,0,0,2,0,2,0.67,2.9,4.3,-1.4,-0.46,17,
Oviedo,16,0,3,0,2,0,0,1,0,0,1,0,5,-5,0,0,2,3,1.0,1.9,6.1,-4.1,-1.37,15,
Sevilla,17,1,2,2,3,0,0,1,0,0,1,3,5,-2,0,0,2,3,1.0,2.8,5.5,-2.7,-0.89,12,6.86
Vallecano,18,0,0,3,2,0,0,0,1,0,1,3,2,1,1,0,1,4,1.33,5.5,3.9,1.7,0.55,10,
Barcelona,19,0,0,6,2,0,0,0,2,0,0,6,2,4,2,0,0,7,2.33,5.8,3.9,1.9,0.64,4,6.96
Getafe,20,0,0,4,1,0,0,0,2,0,0,4,1,3,2,0,0,6,2.0,2.9,2.3,0.5,0.18,6,6.78
