Rk,Squad,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Barcelona,88,2.32,91.5,41.9,49.5,1.3
2,Real Madrid,84,2.21,75.3,42.8,32.5,0.86
3,Atlético Madrid,76,2.0,64.6,33.4,31.2,0.82
4,Athletic Club,70,1.84,53.0,37.8,15.2,0.4
5,Villarreal,70,1.84,64.8,44.4,20.4,0.54
6,Betis,60,1.58,54.7,50.6,4.1,0.11
7,Celta Vigo,55,1.45,54.2,43.4,10.9,0.29
8,Rayo Vallecano,52,1.37,45.4,49.0,-3.5,-0.09
9,Osasuna,52,1.37,44.0,53.7,-9.7,-0.25
10,Mallorca,48,1.26,38.8,46.8,-8.1,-0.21
11,Real Sociedad,46,1.21,42.5,43.9,-1.5,-0.04
12,Valencia,46,1.21,43.3,51.9,-8.6,-0.23
13,Getafe,42,1.11,36.8,46.2,-9.4,-0.25
14,Espanyol,42,1.11,34.4,53.8,-19.4,-0.51
15,Alavés,42,1.11,42.8,47.0,-4.2,-0.11
16,Girona,41,1.08,42.5,50.4,-8.0,-0.21
17,Sevilla,41,1.08,42.7,47.4,-4.7,-0.12
18,Leganés,40,1.05,36.0,59.4,-23.4,-0.62
19,Las Palmas,32,0.84,36.3,66.8,-30.5,-0.8
20,Valladolid,16,0.42,34.6,67.6,-33.0,-0.87
