Rk,Squad,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5
1,Real Madrid,9,3.0,6.1,1.6,4.6,1.52,W W W
2,Athletic Club,9,3.0,5.4,1.9,3.5,1.17,W W W
3,Villarreal,7,2.33,5.8,1.7,4.0,1.34,W W D
4,Barcelona,7,2.33,5.8,3.9,1.9,0.64,W W D
5,Espanyol,7,2.33,4.1,3.5,0.6,0.19,W D W
6,Getafe,6,2.0,2.9,2.3,0.5,0.18,W W L
7,Elche,5,1.67,2.3,4.3,-2.0,-0.66,D D W
8,Betis,5,1.25,4.7,3.7,1.0,0.25,D W D L
9,Valencia,4,1.33,3.5,2.4,1.1,0.38,D L W
10,Rayo Vallecano,4,1.33,5.5,3.9,1.7,0.55,W L D
11,Alavés,4,1.33,3.3,3.8,-0.5,-0.17,W L D
12,Sevilla,3,1.0,2.8,5.5,-2.7,-0.89,L L W
13,Osasuna,3,1.0,2.5,3.1,-0.5,-0.18,L W L
14,Celta Vigo,3,0.75,3.0,3.6,-0.6,-0.15,L D D D
15,Oviedo,3,1.0,1.9,6.1,-4.1,-1.37,L L W
16,Atlético Madrid,2,0.67,3.9,2.7,1.1,0.37,L D D
17,Real Sociedad,2,0.67,2.9,4.3,-1.4,-0.46,D D L
18,Mallorca,1,0.33,1.6,4.6,-3.1,-1.02,L D L
19,Levante,0,0.0,3.4,4.3,-0.9,-0.29,L L L
20,Girona,0,0.0,2.7,7.0,-4.3,-1.44,L L L
